claim_id,user_id,claim_number,claim_type,claim_amount,incident_date,claim_description,supporting_documents_count,claim_status,submitted_at,processed_at,is_fraudulent,fraud_type,fraud_confidence_score,approval_status,rejection_reason,approved_amount
bd19f6a1-c391-4817-bb14-481be6977353,a8b1d73b-f582-4809-8248-db4f50ade3e1,CLM-00001058,property_damage,1351.26,2021-01-31,Hail damage to roof and siding,3,pending,2021-02-27 19:38:00,,False,,0.1958378500310611,,,
7100f2ae-596e-4900-8aff-489b52f3272b,a8b1d73b-f582-4809-8248-db4f50ade3e1,CLM-00001063,theft,1708.23,2021-02-15,Tools and equipment stolen from garage [Requires additional verification and documentation],3,pending,2021-02-28 11:56:00,,True,duplicate,0.7551644462922054,,,
f49597ae-a7c9-47f9-8d17-bb766963f24d,d697ee57-e2db-4720-af73-7f52493edefd,CLM-00006396,theft,1196.25,2021-02-09,"Catalytic converter stolen from vehicle, requires replacement",2,approved,2021-03-03 21:35:00,2021-03-08 21:35:00,False,,0.14466193317252438,approved,,1136.44
8ee160f1-8c54-4107-a9b9-e3ad558f265a,3d6aabba-1c6e-45c7-93d1-2d7cef28daa2,CLM-00005941,other,417.54,2021-03-05,Lost personal items during travel,1,pending,2021-03-05 13:26:00,,False,,0.08608559638182867,,,
34b37dbc-1171-44e0-aa07-7f9fd4453f62,861f7e94-3be6-4a40-84c8-353dabbb4279,CLM-00001285,theft,471.57,2021-02-17,"Vehicle stolen from driveway overnight, recovered by police damaged",5,approved,2021-03-06 11:28:00,2021-03-08 11:28:00,False,,0.023550267000537667,approved,,447.99
b582dbe3-1c5f-494a-8a5e-44ef3ca071b3,a8b1d73b-f582-4809-8248-db4f50ade3e1,CLM-00001074,property_damage,151.99,2021-03-05,"Tree fell on garage during storm, structural damage",1,approved,2021-03-12 15:57:00,2021-03-15 15:57:00,False,,0.15448888026081264,approved,,144.39
bdcaa34d-8ce5-426f-8e41-ef218b74a14e,3ecc8a43-d956-4ed4-87ac-6bff95ddcb6a,CLM-00003375,other,1072.9,2021-03-05,Legal defense costs for liability claim,3,under_review,2021-03-12 16:43:00,2021-03-18 16:43:00,True,exaggerated,0.8587015087220738,under_review,,
ddc3f97f-453d-4ba5-8a67-b53503eb2e0a,28c8b11d-d279-4174-b69c-2332437a0c1d,CLM-00001183,other,538.43,2021-01-27,Lost personal items during travel,4,approved,2021-03-15 12:59:00,2021-03-24 12:59:00,False,,0.15933853946709822,approved,,511.51
c6c8cb53-6ce1-41b5-a61e-15a8c9323aaa,d697ee57-e2db-4720-af73-7f52493edefd,CLM-00006394,theft,1608.51,2021-02-15,"Catalytic converter stolen from vehicle, requires replacement",3,under_review,2021-03-18 17:06:00,2021-03-19 17:06:00,False,,0.23569229701905878,under_review,,
d1a7eb6b-d680-4717-9c9e-ef01d05b589d,c275631f-5e38-4fc4-bc08-2afae5d72b4e,CLM-00003148,accident,10359.33,2021-02-16,"Multi-vehicle pileup on icy road, extensive front and side damage",2,approved,2021-03-23 17:57:00,2021-04-05 17:57:00,False,,0.10608526208912847,approved,,9841.37
4a327892-5eef-412b-8cb3-04899127bbde,eb73c5ee-cb32-4eb4-bdda-f1e3f3f44ceb,CLM-00004588,theft,341.1,2021-03-03,"Vehicle stolen from driveway overnight, recovered by police damaged",4,pending,2021-03-26 08:49:00,,False,,0.18246241494439605,,,
