context_id,claim_id,user_id,device_id,device_type,device_fingerprint,is_trusted_device,device_trust_score,os,browser,ip_address,geolocation_city,geolocation_state,geolocation_country,geolocation_distance_km,is_geolocation_anomaly,session_duration_seconds,form_fill_time_seconds,pages_visited,transaction_hour,transaction_day_of_week,is_unusual_time,days_since_last_claim,is_rapid_succession,claims_last_30_days,claims_last_90_days,captured_at
a84f6537-e511-45e1-83d2-cb1c1d2fd479,bd19f6a1-c391-4817-bb14-481be6977353,a8b1d73b-f582-4809-8248-db4f50ade3e1,b67c961fb7f8744f,mobile,b67c961fb7f8744f,True,0.9633,Linux,Chrome,192.168.143.124,Portland,OR,USA,7.81,False,74,77,10,19,5,False,,False,0,0,2021-02-27 19:38:00
9ddbf17d-5931-41fd-9625-350b083c5d86,7100f2ae-596e-4900-8aff-489b52f3272b,a8b1d73b-f582-4809-8248-db4f50ade3e1,b67c961fb7f8744f,mobile,b67c961fb7f8744f,True,0.9681,macOS,Firefox,192.168.174.171,Portland,OR,USA,14.86,False,47,14,4,11,6,False,0.0,True,1,1,2021-02-28 11:56:00
219668b4-40de-468e-beab-7f747ad2a717,f49597ae-a7c9-47f9-8d17-bb766963f24d,d697ee57-e2db-4720-af73-7f52493edefd,474f104f93a91823,mobile,474f104f93a91823,True,0.9309,Windows,Firefox,192.168.110.172,Portland,OR,USA,19.11,False,73,54,4,21,2,False,,False,0,0,2021-03-03 21:35:00
2e060ba5-1fe7-412d-9c8c-9c4f7730e0f0,8ee160f1-8c54-4107-a9b9-e3ad558f265a,3d6aabba-1c6e-45c7-93d1-2d7cef28daa2,20e79de88c4da5b7,mobile,20e79de88c4da5b7,True,0.8073,iOS,Safari,192.168.135.242,Chicago,IL,USA,9.57,False,79,76,7,13,4,False,,False,0,0,2021-03-05 13:26:00
de1b9a72-5321-4885-9e49-58f3595f385c,34b37dbc-1171-44e0-aa07-7f9fd4453f62,861f7e94-3be6-4a40-84c8-353dabbb4279,1efbbeb790638d85,desktop,1efbbeb790638d85,True,0.8213,iOS,Chrome,192.168.240.155,Albuquerque,NM,USA,7.35,False,107,44,3,11,5,False,,False,0,0,2021-03-06 11:28:00
04f58b10-f17e-434f-9590-aad5223ce2d5,b582dbe3-1c5f-494a-8a5e-44ef3ca071b3,a8b1d73b-f582-4809-8248-db4f50ade3e1,b67c961fb7f8744f,mobile,b67c961fb7f8744f,True,0.9936,macOS,Firefox,192.168.111.7,Portland,OR,USA,30.76,False,93,38,6,15,4,False,12.0,False,2,2,2021-03-12 15:57:00
c6935308-83a4-4ba7-b81c-e69fabce82f9,bdcaa34d-8ce5-426f-8e41-ef218b74a14e,3ecc8a43-d956-4ed4-87ac-6bff95ddcb6a,148745c88cef8820,mobile,148745c88cef8820,True,0.9662,macOS,Firefox,192.168.108.65,Detroit,MI,USA,32.1,False,35,17,6,16,4,False,,False,0,0,2021-03-12 16:43:00
a06251d7-e1a4-4992-9a62-d90c85737ad9,ddc3f97f-453d-4ba5-8a67-b53503eb2e0a,28c8b11d-d279-4174-b69c-2332437a0c1d,379b622ca81e38f2,mobile,379b622ca81e38f2,True,0.8509,Windows,Chrome,192.168.193.27,Nashville,TN,USA,13.47,False,80,62,7,12,0,False,,False,0,0,2021-03-15 12:59:00
c3d58a49-bccd-4a56-b571-47f24e932779,c6c8cb53-6ce1-41b5-a61e-15a8c9323aaa,d697ee57-e2db-4720-af73-7f52493edefd,474f104f93a91823,mobile,474f104f93a91823,True,0.9414,Windows,Firefox,192.168.64.79,Portland,OR,USA,47.57,False,76,64,7,17,3,False,14.0,False,1,1,2021-03-18 17:06:00
f3c65089-5105-414f-baf6-86d6a1f456e7,d1a7eb6b-d680-4717-9c9e-ef01d05b589d,c275631f-5e38-4fc4-bc08-2afae5d72b4e,5f9e329576c5288c,mobile,5f9e329576c5288c,True,0.8824,iOS,Chrome,192.168.38.229,Dallas,TX,USA,14.11,False,138,37,13,17,1,False,,False,0,0,2021-03-23 17:57:00
e627f2f6-ced3-4e80-82a2-f80fb4aeacec,4a327892-5eef-412b-8cb3-04899127bbde,eb73c5ee-cb32-4eb4-bdda-f1e3f3f44ceb,2b689e452f120896,mobile,2b689e452f120896,True,0.8838,macOS,Chrome,192.168.104.65,Corpus Christi,TX,USA,14.59,False,89,54,7,8,4,False,,False,0,0,2021-03-26 08:49:00
90f1b230-695c-40b6-ad41-e426e8845a2c,38db820a-6b55-4bba-b890-43dbb649cef8,28c8b11d-d279-4174-b69c-2332437a0c1d,379b622ca81e38f2,mobile,379b622ca81e38f2,True,0.8852,Windows,Edge,192.168.167.120,Nashville,TN,USA,34.57,False,74,48,11,6,1,False,14.0,False,1,1,2021-03-30 06:25:00
d0982908-8044-4e44-adb6-061a5c6c523c,876ad98a-a368-4849-83ce-beb2ff8ab86a,142222c7-c23b-4a65-a1aa-bd6075993bc9,e87d6898a1c4bcc2,mobile,e87d6898a1c4bcc2,True,0.8633,Android,Safari,192.168.254.89,Sacramento,CA,USA,30.52,False,96,89,10,6,2,False,,False,0,0,2021-03-31 06:44:00
7e9aa393-5bc3-4dde-aec6-ffc621d81e39,195a0971-d9af-41e4-87e6-8ca4e3c6bb08,bf9739e2-64e1-4b72-a90b-f1daa80c8a4a,8e1035dc355ca9fc,mobile,8e1035dc355ca9fc,True,0.9658,Windows,Safari,192.168.228.112,New Orleans,LA,USA,26.91,False,328,240,13,12,2,False,,False,0,0,2021-03-31 12:01:00
5c2ab343-6488-415b-8420-73d16e15cf21,ddc82f34-396c-4d3e-9151-98f32cab7426,fb56e8fd-9e2b-491f-bbfd-a7869c65a50d,b05580742483bbb8,desktop,b05580742483bbb8,True,0.8503,Android,Chrome,192.168.18.248,Chandler,AZ,USA,2.95,False,95,79,3,15,2,False,,False,0,0,2021-03-31 15:48:00
a9482c65-d432-478d-a5b6-dba6d32e2676,8986c258-b245-4a9e-8aa8-daaaefa79361,d9af0ff2-aa44-4579-9e4b-25d9a4f1daf2,1f2a5742f2934b36,mobile,1f2a5742f2934b36,True,0.8212,iOS,Firefox,192.168.80.24,Long Beach,CA,USA,16.98,False,77,75,14,6,3,False,,False,0,0,2021-04-01 06:24:00
f53047f1-ae2b-42d5-b03d-d65b3a8b1a05,99ddfc4d-0aa3-4670-b1a9-76aa3ddf23a6,db5467e7-13d4-4802-9944-edb681ab26eb,5899f361b4d211c9,mobile,5899f361b4d211c9,True,0.9565,Windows,Edge,192.168.54.248,Atlanta,GA,USA,6.6,False,130,93,9,21,4,False,,False,0,0,2021-04-02 21:40:00
58ee2d2d-7b4d-49f7-a8ca-468b6ad19de8,19eb3620-eb37-4888-aeaa-0f439d9cbf46,45bbe659-57a4-419c-af3d-ce3eb21d5871,ab596db1018fdb2f,desktop,ab596db1018fdb2f,True,0.898,iOS,Chrome,192.168.234.143,Lexington,KY,USA,33.49,False,67,91,14,7,6,False,,False,0,0,2021-04-04 07:17:00
f8c6d6e6-0aab-447d-802d-be108636fca6,321e66c3-a726-43a8-a41f-1431f7e46cf6,eb3251f2-9e8e-499b-b3e6-02d7ca88c460,1964b9b8af0cd074,desktop,1964b9b8af0cd074,True,0.863,iOS,Chrome,192.168.180.240,Baltimore,MD,USA,23.29,False,117,54,8,6,1,False,,False,0,0,2021-04-06 06:46:00
59a272f3-ff86-42ab-b540-1a445931257f,8e552b49-2f1c-4490-a119-76cb12fce5a5,142222c7-c23b-4a65-a1aa-bd6075993bc9,e87d6898a1c4bcc2,mobile,e87d6898a1c4bcc2,True,0.9546,iOS,Chrome,192.168.76.239,Sacramento,CA,USA,23.2,False,250,218,14,11,2,False,7.0,False,1,1,2021-04-07 11:54:00
abcca95e-6022-414a-9ce5-65b7b7cf3832,86f2fb27-40e6-4c18-ac77-88198ff16034,b8b047b6-2537-4d8b-8329-d16dc55d252b,02e52905652063e1,mobile,02e52905652063e1,True,0.9104,iOS,Firefox,192.168.141.136,St. Louis,MO,USA,20.35,False,131,84,7,9,4,False,,False,0,0,2021-04-09 09:06:00
cee53997-c48a-49fa-9389-bd3fbb60a11f,df19bc4e-f359-4d32-8320-425743c94459,a8b1d73b-f582-4809-8248-db4f50ade3e1,b67c961fb7f8744f,mobile,b67c961fb7f8744f,True,0.9841,Linux,Chrome,192.168.181.113,Portland,OR,USA,28.02,False,85,32,4,11,4,False,27.0,False,1,3,2021-04-09 11:25:00
f2668d6b-8f6f-4e7a-bba9-fdca25fe56c3,2e63bb0e-c4f7-47fb-879f-dd793956bdc8,3d6aabba-1c6e-45c7-93d1-2d7cef28daa2,20e79de88c4da5b7,mobile,20e79de88c4da5b7,True,0.9394,iOS,Safari,192.168.87.96,Chicago,IL,USA,38.41,False,67,76,3,16,4,False,35.0,False,0,1,2021-04-09 16:23:00
5b5596ec-954d-4079-b207-40b62c4494b6,ef9ed82f-e537-47c2-b38a-e3357b047850,c275631f-5e38-4fc4-bc08-2afae5d72b4e,40fb885fda95a4a8,mobile,40fb885fda95a4a8,True,0.9202,Android,Safari,192.168.208.215,Dallas,TX,USA,17.18,False,86,62,10,19,6,False,19.0,False,1,1,2021-04-11 19:14:00
75442b5c-761e-413b-9913-67c76ad6b4c8,64cd6022-fc6c-4cf1-b20f-82b4a04fdba8,d594774a-cdd5-4479-8702-70389f8bba07,e19c5b60ab4e24f2,mobile,e19c5b60ab4e24f2,True,0.8767,Linux,Edge,192.168.40.157,Mesa,AZ,USA,20.42,False,99,68,9,19,1,False,,False,0,0,2021-04-13 19:43:00
a8fc76f5-70a1-4893-99fc-4c9e089b91bf,a1f20f9c-65cc-493a-9b58-e6aa555cd2a2,142222c7-c23b-4a65-a1aa-bd6075993bc9,e87d6898a1c4bcc2,mobile,e87d6898a1c4bcc2,True,0.814,Linux,Firefox,192.168.164.10,Sacramento,CA,USA,44.2,False,117,50,13,22,1,False,6.0,True,2,2,2021-04-13 22:24:00
d20b5de3-1976-4c39-ac63-98e3862250a5,d40e4313-8af8-42a2-9ece-e53aa77a59e2,eb73c5ee-cb32-4eb4-bdda-f1e3f3f44ceb,2b689e452f120896,mobile,2b689e452f120896,True,0.8881,Windows,Safari,192.168.107.207,Corpus Christi,TX,USA,3.98,False,31,17,8,8,3,False,19.0,False,1,1,2021-04-15 08:39:00
4a92f068-b696-4ecf-abe4-837ac59e8f2a,2dbdc734-2b87-48c8-bcee-53ab243284a4,8ac5d611-0137-492e-b8d7-cbadfb5f24ac,eff2001be6402290,mobile,eff2001be6402290,True,0.8324,iOS,Chrome,192.168.224.129,Chandler,AZ,USA,19.73,False,118,69,13,11,4,False,,False,0,0,2021-04-16 11:50:00
96201e88-cc80-4c0a-98cc-b6ff8e0d3394,cc3e4e97-2a48-4835-97d2-e686238102a6,a8b1d73b-f582-4809-8248-db4f50ade3e1,b67c961fb7f8744f,mobile,b67c961fb7f8744f,True,0.9293,iOS,Edge,192.168.127.66,Portland,OR,USA,22.44,False,121,74,4,11,6,False,9.0,False,1,4,2021-04-18 11:43:00
cd65f68b-031f-45db-b5c2-4d69a668e881,16ac6b97-1838-4684-8387-a120a61b3b80,8ba3de0e-242e-462f-8f1b-8b37320fadbe,28331c87e07ec0c3,mobile,28331c87e07ec0c3,True,0.8897,Linux,Safari,192.168.52.69,Indianapolis,IN,USA,45.59,False,83,94,8,17,6,False,,False,0,0,2021-04-18 17:25:00
698ca449-e11f-4c73-9883-a5d57e8bc4b3,d17de9ec-d32f-4e64-ba31-924eebf4aac8,eb3251f2-9e8e-499b-b3e6-02d7ca88c460,1964b9b8af0cd074,desktop,1964b9b8af0cd074,True,0.8973,iOS,Chrome,192.168.5.223,Baltimore,MD,USA,44.46,False,88,63,5,10,0,False,13.0,False,1,1,2021-04-19 10:07:00
55fa3952-8a9e-48ef-84d9-eb6c1a8993ac,34b5ac0c-2eb9-495e-acb1-3b8997825a91,8ac5d611-0137-492e-b8d7-cbadfb5f24ac,eff2001be6402290,mobile,eff2001be6402290,True,0.8345,Windows,Chrome,192.168.251.57,Chandler,AZ,USA,7.84,False,30,17,7,13,0,False,3.0,True,1,1,2021-04-19 13:36:00
af673fea-3526-4c4c-abb4-860219535a36,cab00831-033d-4459-b83f-86c03c82adb5,142222c7-c23b-4a65-a1aa-bd6075993bc9,e87d6898a1c4bcc2,mobile,e87d6898a1c4bcc2,True,0.9931,iOS,Edge,192.168.232.246,Sacramento,CA,USA,3.61,False,67,32,9,22,0,False,6.0,True,3,3,2021-04-19 22:35:00
0e1a88aa-d7ef-4753-8a94-8642d555cb53,5cd5c11a-398c-44a0-9c6c-b4113ea416b7,c275631f-5e38-4fc4-bc08-2afae5d72b4e,40fb885fda95a4a8,mobile,40fb885fda95a4a8,True,0.932,iOS,Firefox,192.168.103.119,Dallas,TX,USA,32.03,False,133,98,13,6,4,False,11.0,False,1,2,2021-04-23 06:00:00
2bd28976-04ae-49b5-ab42-8d229dc52133,2fadfbf7-5a6c-4b4c-a3a1-cbdcbd22279d,b710d2fa-c207-4b81-8638-7bf034ed6d18,65ae747e046e2220,desktop,65ae747e046e2220,True,0.8484,Android,Edge,192.168.251.92,New Orleans,LA,USA,20.27,False,147,98,13,6,0,False,,False,0,0,2021-04-26 06:17:00
f463d526-c8da-4e2e-a549-f77f8314cfa5,a430df25-fceb-4084-858e-659e56e3a183,669e0d3e-2acc-40df-b3e6-514394c620d5,c6c1039d77158c12,desktop,c6c1039d77158c12,True,0.8021,Windows,Safari,192.168.148.25,Dallas,TX,USA,25.73,False,97,91,6,9,0,False,,False,0,0,2021-04-26 09:41:00
2834f832-46f5-4a45-9af3-8918747c6dab,eaa39544-a667-46e8-a6b2-76cc2d9b2130,eb3251f2-9e8e-499b-b3e6-02d7ca88c460,1964b9b8af0cd074,desktop,1964b9b8af0cd074,True,0.9339,Windows,Edge,192.168.205.193,Baltimore,MD,USA,12.63,False,84,38,6,12,2,False,9.0,False,2,2,2021-04-28 12:01:00
